Lookup,Player,Sorting,On Teams,HP url,QM MMR,SL MMR,QM Games,SL Games,MMR,Untracked,Role,Tag,is_primary,Adjustment,Win %,Games,Takedowns,Kills,Assists,Deaths,Kill Participation,KDA,Highest Kill Streak,Vengeances,Time Dead,Time Dead %,Deaths While Outnumbered,Escapes,Team Fight Escapes,Hero Damage,DPM,Physical Damage,Ability Damage,Damage per Death,Team Fight Hero Damage,Siege Damage,Structure Damage,Minion Damage,Summon Damage,Creep Damage,Healing,HPM,Healing per Death,Team Fight Healing,Self Healing,Allied Shields,Clutch Heals,Damage Taken,Damage Soaked,Damage Taken per Death,Team Fight Damage Taken,CC Time,Root Time,Silence Time,Stun Time,Time on Fire,XP Contribution,XPM,Merc Camp Captures,Watch Tower Captures,Aces,Wipes,% of Game with Level Adv.,% of Game with Hero Adv.,Passive XP/Second,Passive XP Gained,Altar Damage Done,Damage to Immortal,Dragon Knights Captured,Shrines Captured,Dubloons Held At End,Dubloons Turned In,Skulls Collected,Shrine Minion Damage,Plant Damage,Seeds Collected,Garden Seeds Collected,Gems Turned In,Nuke Damage,Curse Damage,Time On Temple,Damage Done to Zerg,Cage Unlocks Interrupted,Hero Pool,Damage Ratio,% of Team Damage,% of Team Damage Taken,% of Team Damage Healed,% of Time Slow CC,% of Time Non-Slow CC,Votes,Awards,Award %,MVP,MVP %,Bsteps,Bstep TD,Bstep Deaths,Taunts,Taunt TD,Taunt Deaths,Sprays,Spray TD,Spray Deaths,Dances,Dance TD,Dance Deaths
Aero#1377,Aero,Aero,TRUE,https://www.heroesprofile.com/Player/Aero/335655/1,2781,2682,3469,1627,2781,FALSE,F,1377,TRUE,,60%,5,8.20,1.60,6.60,3.60,60%,3.12,5.00,0.20,2:04,12%,1.40,1.20,0.40,26812.40,1639.34,43989.40,97961.00,12103.78,15468.20,93849.40,15757.00,71954.20,2930.20,16097.40,0.00,979.01,6064.95,0.00,16480.60,0.00,0.00,55849.20,42162.20,19927.33,36454.60,2:29,00:05,00:00,00:19,00:00,14608.40,915.39,1.80,0.60,0.20,0.00,31%,19%,24.39,4556.07,4.00,0,0.20,1.40,0,0,0,915.20,0,0,0,6.80,0,0.00,00:00,0,0,4,0.54,15%,27%,0%,15%,3%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,1,0,0
Aieeeǃ#1679,Aieeeǃ,Aieeeǃ,TRUE,https://www.heroesprofile.com/battletag/searched/Aieeeǃ%231679/alt,2923,3034,1261,1175,3034,FALSE,A,1679,TRUE,-10,46.7%,15,11.00,3.93,7.07,2.27,79%,8.48,7.73,0.40,1:21,7%,1.07,0.73,0.07,60363.80,3318.24,88846.87,86702.80,39690.02,28616.27,76799.47,23233.60,44216.60,1930.80,32609.27,14554.80,1158.36,15996.61,4011.20,7642.73,0.00,0.47,34982.00,28732.87,20962.29,18650.73,2:37,00:00,00:05,00:01,00:00,10706.93,579.59,4.67,0.00,0.20,0.07,27%,19%,26.12,7113.78,1.20,5414.07,0.13,0.53,0,0,0,689.47,0.00,0.00,0.00,0,0,0,00:00,1313.93,0.87,11,1.85,31%,14%,5%,15%,1%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,0,0,0
Lycaena#1716,Lycaena,Lycaena,FALSE,https://www.heroesprofile.com/battletag/searched/Lycaena%231716/alt,2554,2571,908,2622,2571,TRUE,,1716,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crispy#11728,Crispy,Crispy,TRUE,https://www.heroesprofile.com/Player/Crispy/10675902/1,2848,3008,2709,1025,3008,TRUE,,11728,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretenDan#1372,PretenDan,PretenDan,TRUE,https://www.heroesprofile.com/Player/PretenDan/3748292/1,2666,2629,2914,2568,2666,TRUE,,1372,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erikwithak#1720,erikwithak,erikwithak,TRUE,https://www.heroesprofile.com/battletag/searched/erikwithak%231720/alt,2792,2809,1322,4521,2809,TRUE,,1720,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akuma#15567,Akuma,Akuma,TRUE,https://www.heroesprofile.com/battletag/searched/Akuma%2315567/alt,2393,2657,41,197,2657,FALSE,,15567,TRUE,,0%,1,10.00,3.00,7.00,4.00,77%,2.50,7.00,1.00,2:50,13%,2.00,0.00,0.00,60789.00,2862.62,21808.00,292324.00,15197.25,18914.00,206889.00,30015.00,137772.00,5603.00,34034.00,0.00,100.96,536.00,0.00,2144.00,0.00,0.00,42693.00,23945.00,10673.25,25058.00,00:00,00:00,00:00,00:00,00:00,19003.00,894.87,1.00,0.00,0.00,0.00,1%,22%,25.54,7056.91,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,00:00,0,0,1,1.42,24%,16%,0%,0%,0%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,34,0,0
Alpharak#1610,Alpharak,Alpharak,TRUE,https://www.heroesprofile.com/Player/Alpharak/9691835/1,2720,3172,421,1574,3172,FALSE,F,1610,TRUE,,100%,1,10.00,1.00,9.00,1.00,40%,10.00,13.00,0.00,00:16,2%,1.00,0.00,0.00,20171.00,1503.55,7646.00,23257.00,20171.00,11309.00,11637.00,3278.00,7650.00,0.00,0.00,51085.00,3807.87,51085.00,24921.00,0.00,0.00,0.00,17160.00,15646.00,17160.00,10790.00,16:30,00:00,00:00,00:00,00:00,4529.00,337.59,1.00,2.00,0.00,0.00,64%,26%,28.47,6821.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.00,00:00,0,0,1,1.18,12%,12%,36%,122%,0%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
Amarandus#1357,Amarandus,Amarandus,TRUE,https://www.heroesprofile.com/battletag/searched/Amarandus%231357/alt,2592,1906,1355,14,2592,FALSE,A,1357,TRUE,,0%,1,5.00,1.00,4.00,6.00,100%,0.83,2.00,0.00,3:37,20%,2.00,1.00,0.00,38283.00,2107.56,4287.00,94184.00,6380.50,19867.00,60814.00,8359.00,28504.00,18503.00,990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28286.00,13343.00,4714.33,21093.00,3:01,00:18,00:00,00:13,00:00,4896.00,269.54,0.00,0.00,0.00,0.00,1%,10%,22.24,2444.50,0,0,0.00,8.00,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1,1.35,23%,12%,0%,16%,3%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ambama#1981,Ambama,Ambama,TRUE,https://www.heroesprofile.com/battletag/searched/Ambama%231981/alt,2568,2404,943,102,2568,TRUE,,1981,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOERules#1634,AOERules,AOERules,TRUE,https://www.heroesprofile.com/Player/AOERules/690109/1,2811,2951,372,4182,2951,FALSE,A,1634,TRUE,80,0%,1,13.00,2.00,11.00,3.00,93%,4.33,6.00,1.00,2:03,9%,0.00,1.00,0.00,71931.00,3045.10,63287.00,108053.00,23977.00,30662.00,96859.00,15347.00,71577.00,0.00,3379.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53200.00,44384.00,17733.33,26179.00,00:14,00:00,00:14,00:00,00:00,21360.00,904.25,4.00,0.00,0.00,0.00,1%,18%,23.81,5403.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1,1.35,23%,14%,0%,1%,1%,0,0,0%,0,0%,0,0,0,0,0,0,1,0,0,0,0,0
Arai#1597,Arai,Arai,TRUE,https://www.heroesprofile.com/battletag/searched/Arai%231597/alt,2670,2281,2899,24,2670,FALSE,,1597,TRUE,,25%,4,7.75,2.00,5.75,4.75,76%,1.63,4.00,0.50,3:22,18%,2.00,0.50,0.00,50791.25,2350.72,98892.75,39800.75,10639.38,20151.00,54560.50,10226.25,19327.50,1343.25,32324.75,0.00,276.28,1190.95,0.00,5305.75,0.00,0.00,33267.50,21713.00,7159.24,20834.50,00:02,00:00,00:00,00:00,00:00,10992.75,533.38,4.25,0.00,0.25,0.50,7%,16%,25.68,7151.56,0,8029.00,0.00,0.00,0,0,0,1187.75,0.00,0.00,0.00,0,0,0,00:00,0,0,2,1.52,24%,13%,0%,0%,0%,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0
